#{"t_start": 1772024393.4540088, "env_id": "None"}
r,l,t
1203.743,53,3.505289
837.99585,53,5.769532
1181.423,53,7.910058
1226.063,53,9.876077
1266.4092,53,11.941273
951.5226,53,14.065371
1007.54706,53,16.065459
694.1972,53,17.952284
1331.4666,53,20.034153
1044.6991,53,22.255625
823.11584,53,24.524771
1289.3635,53,26.751002
1368.6666,53,28.798644
973.8425,53,30.869089
1311.6836,53,32.894561
1074.4591,53,34.927435
824.21234,53,37.017375
1074.4591,53,39.081952
1226.063,53,41.118459
1233.503,53,43.071057
